"BILL NO","BILL DATE",COMPANY,"ITEM CODE","ITEM NAME",PACKING,"BATCH NO","EXP DT",QTY,FREE,PTR,MRP,AMOUNT,SCH.DIS%,DISCOUNT,"DIS AMT","TAXABLE AMT","GST %","GST AMT",VALUE,"NET AMOUNT",HSNCODE
LPH/2627/123453,06-06-2026,"CIPLA  LTD",L20010013,"AEROCORT FORTE R/C 30 S",20/480,6SA0133,30-11-2027,1,0,99.5,130.59,99.5,0,0,2.98,96.52,5,4.82,101.34,7535,30049099
LPH/2627/123453,06-06-2026,"CIPLA  LTD",L20010011,"AEROCORT R/CAP 60S",24/360,6SA0098,31-05-2027,2,0,108.7,142.67,217.4,0,0,6.52,210.88,5,10.54,221.42,7535,30049099
LPH/2627/123453,06-06-2026,"ANTHUS PHARMACEUTICALS(P)LTD",L20211712,"ANTEL 40  10 S",10,AJP01ASB,28-02-2028,3,0,54.6,68.8,163.8,0,0,4.91,158.89,5,7.94,166.83,7535,30049029
LPH/2627/123453,06-06-2026,"CIPLA  LTD",L20010023,"ASTHALIN CFC INH (100/200) 1 S",20/240,5BA2951,31-10-2027,2,0,128.6,168.79,257.2,0,0,7.72,249.48,5,12.48,261.96,7535,30049091
LPH/2627/123453,06-06-2026,"CIPLA  LTD",L20010027,"ASTHALIN R/CAP 60 S",20/320,6SA0212,30-11-2028,1,0,54.68,71.77,54.68,0,0,1.64,53.04,5,2.66,55.7,7535,30049099
LPH/2627/123453,06-06-2026,"SUN PHARMA LABS LTD (7167)",L20020460,"BETACAP TR 40  10 S",10/960,SIH0082A,31-12-2027,2,0,34.5,45.28,69,0,0,2.07,66.93,5,3.34,70.27,7535,30049099
LPH/2627/123453,06-06-2026,"GLENMARK PHARMACEUTICALS (DIVYA)",L30261406,"CANDID CL VAGIN SUP3S",10/240,24250027,31-01-2027,1,0,124.29,163.13,124.29,0,0,3.73,120.56,5,6.02,126.58,7535,30049029
LPH/2627/123453,06-06-2026,"GLENMARK PHARMACEUTICALS (DIVYA)",L30260017,"CANDIDERMA + CREAM 20G",15/360,11251455,31-10-2027,5,1,150.71,197.81,753.55,0,0,22.61,730.94,5,36.54,767.48,7535,30049029
LPH/2627/123453,06-06-2026,"CIPLA  LTD",L20010090,"CIPLAR 10 15 S",5/50,5SB0947,30-11-2028,2,0,15.95,20.94,31.9,0,0,0.96,30.94,5,1.54,32.48,7535,30049074
LPH/2627/123453,06-06-2026,"CIPLA  LTD",L20010092,"CIPLAR LA 40 15 S",4/60,5SB0410,31-03-2027,1,0,93.93,123.28,93.93,0,0,2.82,91.11,5,4.56,95.67,7535,30049074
LPH/2627/123453,06-06-2026,"TORRENT PHARMACEUTICALS LTD",L35242686,"CLINMISKIN GEL 20GM",0,CG2601,31-01-2028,1,0,170.78,224.15,170.78,0,0,5.12,165.66,5,8.28,173.94,7535,30042095
LPH/2627/123453,06-06-2026,"P&G SABARI DISTRIBUTION PVT LTD",L31302357,"CLOBETAMIL G CREAM 30G",1,6027C83902,30-09-2027,1,0,35.17,46.16,35.17,0,0,1.06,34.11,5,1.7,35.81,7535,30049029
LPH/2627/123453,06-06-2026,"ERIS LIFESCIENCES",L10450009,"COSVATE GM 20 GM",10,CK6013,28-02-2029,2,0,29.56,38.8,59.12,0,0,1.77,57.35,5,2.86,60.21,7535,30043200
LPH/2627/123453,06-06-2026,"CIPLA  LTD",L20014041,"D SOL DROPS(400)  30ML",0,DPR25005,31-03-2027,1,0,63.83,83.78,63.83,0,0,1.91,61.92,5,3.1,65.02,7535,30049061
LPH/2627/123453,06-06-2026,"SUN PHARMA LABS LTD (7167)",L21352341,"DIAMOX (250)  15S",3/36,GTH0941A,28-02-2029,1,0,49.43,64.88,49.43,0,0,1.48,47.95,5,2.4,50.35,7535,30049099
LPH/2627/123453,06-06-2026,"SUN PHARMA LABS LTD (7167)",L21352341,"DIAMOX (250)  15S",3/36,GTH0941A,28-02-2029,1,0,49.43,64.88,49.43,0,0,1.48,47.95,5,2.4,50.35,7535,30049099
LPH/2627/123453,06-06-2026,"SUN PHARMA LABS LTD (7167)",L21352341,"DIAMOX (250)  15S",3/36,GTH0941A,28-02-2029,1,0,49.43,64.88,49.43,0,0,1.48,47.95,5,2.4,50.35,7535,30049099
LPH/2627/123453,06-06-2026,"SUN PHARMA LABS LTD (7167)",L20020260,"DICORATE ER 500  10 S",10/250,GKH0115A,31-12-2027,1,0,171.43,225,171.43,0,0,5.14,166.29,5,8.32,174.61,7535,30049099
LPH/2627/123453,06-06-2026,"P&G SABARI DISTRIBUTION PVT LTD",L31301497,"EVION LC 10S",15,6070C82305,31-08-2027,1,0,54.07,70.98,54.07,0,0,1.62,52.45,5,2.62,55.07,7535,30045037
