Timestamp,Employee,Division,Style,Qty,Counter
"04/06/2026, 10:05:21","RAHUL","THR","MJ06-WHITE-34B","1","C2"
"10/06/2026, 21:52:55","arun","PR1","2715-NV-CM-M","1","C1"
"10/06/2026, 21:53:16","arun","PR1","2726-CHAML-S","1","C1"
"10/06/2026, 21:53:59","as","KID","UI01-ASSTD-S","1","C1"
"10/06/2026, 21:58:22","g","KID","HG32-TNVPR-XL","1","C1"
"10/06/2026, 21:59:41","arjun","PR1","HG32-TNVPR-XL","1","C1"
"10/06/2026, 21:59:55","z","PR1","UI01-ASSTD-S","1","C1"
"10/06/2026, 22:02:22","j","PR1","HG32-TNVPR-XL","1","C1"
"10/06/2026, 22:02:45","j","PR1","2715-NV-CM-M","1","C1"
"10/06/2026, 22:08:57","arun","PR1","UI01-ASSTD-S","1","C1"
"10/06/2026, 22:12:37","arun","PR1","2714-CHAML-S","1","C1"
"10/06/2026, 22:28:30","arun","PR1","2715-NV-CM-M","1","C1"
"11/06/2026, 13:54:07","arun","PR1","2726-DATLA-S","1","C1"
"11/06/2026, 13:55:21","arun","PR1","2726-DATLA-S","1","C1"
"11/06/2026, 13:56:19","arun","PR1","UI01-ASSTD-S","1","C1"
"11/06/2026, 15:52:40","arun","PR1","2715-NV-CM-XXL","1","C1"
"11/06/2026, 15:57:10","arun","PR1","2726-DATLA-XXL","1","C1"
"11/06/2026, 15:59:28","arun","PR1","SP19-GRMAL-XL","1","C1"
"11/06/2026, 16:04:05","arun","PR1","2726-CHAML-S","1","C1"
"11/06/2026, 16:05:31","arun","PR1","2726-CHAML-S","1","C1"
"11/06/2026, 16:08:36","arun","PR1","2726-DATLA-S","1","C1"
"16/06/2026, 10:14:24","ARUN V","BRA","1203-KHAKI-L","1","C3"
"16/06/2026, 10:14:52","JUSTIN","BRA","1203-DKHAK-L","18","C3"
"16/06/2026, 10:15:09","ANTONY","PR2","1203-KHAKI-M","21","C3"
"16/06/2026, 11:44:16","NANDHU","THR","1203-GRPHT-XXL","1","C1"
